ID1,ID2,EdgeType,Score,Annotation
395,1033,MS1 annotation,0,[M+H]+ [M+H+Na]2+ dm/z=432.726542534268219
396,453,MS1 annotation,2,[M+H]+ [M-3H-2O]+ dm/z=18.010521923022395
399,404,MS1 annotation,1,[M+H]+ [M+Na]+ dm/z=21.980892141979666
401,1238,MS1 annotation,1,[M+H]+ [M-H-O]+ dm/z=17.960361018311801
404,550,MS1 annotation,1,[M+Na]+ [M+H]+ dm/z=35.996015664825563
411,418,MS1 annotation,1,[M+3H]3+ [M+3H]3+ dm/z=14.672071178697934
415,607,MS1 annotation,3,[M+5H+N]2+ [M+5H+N]2+ dm/z=22.038980740560305
418,462,MS1 annotation,2,[M+3H]3+ [M+3H]3+ dm/z=13.024327770684636
424,1002,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=21.981611588595229
427,431,MS1 annotation,0,[M-H-O]+ [M+H]+ dm/z=18.010892175008166
434,708,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=21.983106992751459
435,457,MS1 annotation,3,[M+Na]+ [M-H-O]+ dm/z=21.988716709119899
441,483,MS1 annotation,0,[M+2H]2+ [M+H]+ dm/z=374.253300248085907
442,484,MS1 annotation,0,[M+H]+ [M-H-O]+ dm/z=18.010518593442953
446,690,MS1 annotation,1,[M+H+Na]2+ [M+2H]2+ dm/z=8.528071427603095
461,471,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=22.015946854024037
462,557,MS1 annotation,1,[M+3H]3+ [M+3H]3+ dm/z=14.695971982229594
468,488,MS1 annotation,0,[M+2H]2+ [M+2Na]2+ dm/z=22.014455808990419
469,643,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=18.00894304908951
470,657,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=22.01323251912811
487,597,MS1 annotation,0,[M+H]+ [M-H-O]+ dm/z=18.079886906819979
496,747,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.985146632700207
501,688,MS1 annotation,10,[M+2H]2+ [M+2H]2+ dm/z=11.037106841692662
510,840,MS1 annotation,1,[M+Na]+ [M+H]+ dm/z=21.993687549781953
541,1064,MS1 annotation,0,[M+H]+ [M-H-O]+ dm/z=17.973299275932504
568,581,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.982696820160754
593,726,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.982889861576439
617,620,MS1 annotation,2,[M+2H]2+ [M+2H]2+ dm/z=22.022041425999987
639,764,MS1 annotation,0,[M+2H]2+ [M+2H]2+ dm/z=18.099147438704335
645,995,MS1 annotation,0,[M+2H]2+ [M+2H]2+ dm/z=17.106227384661452
842,866,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.977760024138377
932,938,MS1 annotation,0,[M+Na]+ [M+H]+ dm/z=22.077143490695562
975,976,MS1 annotation,0,[M+2Na]2+ [M+2H]2+ dm/z=21.983824350824648
1091,1093,MS1 annotation,0,[M+8H+2N]2+ [M+2H]2+ dm/z=17.024927498968509
1189,1192,MS1 annotation,0,[M+3H]3+ [M+H+2Na]3+ dm/z=14.670080805242719
1254,1274,MS1 annotation,0,[M+2H]2+ [M+2Na]2+ dm/z=22.055012229590261
